id_actividad;Nombre_Actividad;Descripcion_Actividad;Responsable_Principal
306;Sensibilizaciones alto fucha barrio laureles;Sensibilización y charla justicia restaurativa;Justicia social
307;Socialización código de convivencia entornos seguros;Socialización código de convivencia entornos seguros ;Justicia social
308;CHARLA JUSTICIA RESTAURATIVA-ESTABLECIMIENTOS ABIERTOS AL PUBLICO-ZONAS SEGURAS-MANEJO DE BASURAS;Realizar actividades de sensibilizacion BARRIO LAURELES con el fin de mitigar riesgo de consumo de sustancias psicoactivida, prevension riñas, venta de estupefacientes - basuras y demas actividades contratiar al codigo de policia ley 1801;fabian herrera - francisco rodriguez-briam brito- heidy gordo
309;CHARLA JUSTICIA RESTAURATIVA-ESTABLECIMIENTOS ABIERTOS AL PUBLICO-ZONAS SEGURAS-MANEJO DE BASURAS;Realizar actividades de sensibilizacion BARRIO LAURELES con el fin de mitigar riesgo de consumo de sustancias psicoactivida, prevension riñas, venta de estupefacientes - basuras y demas actividades contratiar al codigo de policia ley 1801;fabian herrera-briam brito- francisco rodriguez- heidy gordo
310;CHARLA JUSTICIA RESTAURATIVA-ESTABLECIMIENTOS ABIERTOS AL PUBLICO-ZONAS SEGURAS-MANEJO DE BASURAS;Realizar actividades de sensibilizacion BARRIO LAURELES con el fin de mitigar riesgo de consumo de sustancias psicoactivida, prevension riñas, venta de estupefacientes - basuras y demas actividades contratiar al codigo de policia ley 1801;fabian herrera
311;atencion al ciudadano;Promover la justicia social y la convivencia local en San Cristóbal mediante el diseño y ejecución de estrategias participativas e inclusivas que fortalezcan el tejido comunitario, priorizando las poblaciones más vulnerable, asi como realizar atencion al ciudadano y verificacion de orfeos;fabian
312;Reunion de coordinación;Coordinación Círculos de de dialogo contravencional;Ferney Vásquez Moreno
313;Convocatoria ;Invitación puerta a puerta ;Francisco Rodríguez Peñaloza 
314;CAMPAÑA VACUNACION PERROS Y GATOS;ACOMPAÑIENTO A JORNADA DE VACUNACION MEDICO VETERINARIA;HUGO ORTIZ
315;PLAN MOCHILA COLEGIO RAFAEL NUÑEZ;ACOMPAÑAMIENTO A ESTUDIANTES Y A POLICIA EN REQUISAS;ANDRES ARIAS
316;Convocatoria Sensibilización Puerta puerta código de convivencia.;Recorrido de convocatoria para el sábado 2 de agosto;FRANCISCO RODRÍGUEZ 
317;Coordinación barras;Identificación de personas que realizaron comportamientos contrarios a la convivencia;Ferney Vásquez Moreno
318;REUNION GENERAL;REUNION DE EQUIPO PARA PROGRAMACION DE SIGUIENTES ACTIVIDADES;ROMAN GONZALEZ
319;VOZ A VOZ JORNADA MEDICO VETERINARIA ;SE REALIZA UN VOZ A VOZ AL REDEDOR DE PARQUE LAS GAVIOTAS INIVITANDO A MEDICO METERINARIO;HUGO ORTIZ
320;PLAN MOCHILA COLEGIO ALDEMAR ROJAS;REALIZAR VERIFICICACION ALREDOR DEL COLEGIO Y BRINDAR ACOMPAÑAMIENTO A ESTUDIANTES;CRISTINA RONDON
321;Reunión casa de justicia ;Planteamientos para abordar la convivencia de la localidad ;Francisco Rodríguez Peñaloza 
322;Voz a voz en la comunidad camilista juan rey;Realizar voz a voz alrededor de creac juan rey para el bingo 27 de julio;Vivian valbuena
323;Acompañamiento Bingo juan rey;Acompañar a padres camilianos durante bingo;Daniela Villanueva 
324;Campaña Vacunacion Animalitos nueva roma;Acompañamiento a vacunacion de mascotas ;Hugo ortiz
325;Reunión de programación semanal ;Programacion de actividad articulado con otras entidades;Roman Gonzalez 
326;Plan mochila colegio felix restrepo sede A;Acompañamiento a los estudiantes del colegio y sensibilizar evitando riesgos;Andres Arias
327;Campaña Vacunacion Animales Nueva Delhi;Acompañamiento a vacunacion de animalitos nueva delhi;Hugo Ortiz
328;Voz a voz jornada veterinaria nueva roma;Invitación a la comunidad a jornada medico veterinaria;Yuri Esterling
329;Plan Mochila Colegio Montebello ;Acompañamiento a estudiantes del colegio montebello;Cristina Rondon
330;Campaña ;Sensibilización comunidad decreto 825 y ley 1801;Francisco Rodríguez Peñaloza 
331;Reunion Gestores ;Reunion de grupo para corroborar temas de los próximos eventos.;Roman Gonzalez
332;Voz a voz invitación jornada veterinaria nueva delhi;Perifoneo en el sector nueva delhi invitando a la comunidad jornada veterinaria;Nancy lopez
333;Reunion padre camelianos;Reunion final con padres camelianos para tratar temas de evento bingo;Daniela Villanueva
334;Campaña de información decreto 825;Sensibilizar decreto 825 ;Cesar Pachon
335;Inauguración zona segura;Realizar inauguración zona segura barrio ramajal;Fabian herrera -Andrés Mancera-policia
336;Borde alto fucha montecarlo;Sensibilización y encuentro comunitario ;Elkin -Fabian-francisco-Briam -heidy
337;Mesa de trabajo la victoria bellavista;Mesa de trabajo o victoria bellavista;Jal 
338;Reunión comunitaria Managua y san isidro;Reunión comunitaria ;Ediles 
339;Curso Moda sostenible y patronaje;Acompañamiento a clases de moda sostenible y patrinaje ;Angie Gonzalez 
340;SENSIBILIZACIÓN BORDE ALTO FUCHA MONTECARLO;Socialización código 1901/2016;Justicia social
341;Mes tecnica alerta temprana;"Monitoreo y verificación de alerta  005-22, orientar técnicamente el diseño, planeación,
ejecución y monitoreo de planes, programas y procesos de fortalecimiento de la gestión de la convivencia.";Derechos humanos
342;Campaña de sensibilización contra el hurto y la extorsion comercio;Se realizará la sensibilización en el sector comercial para prevenir el hurto;Yohn Rojas
343;Sensibilización Documentos;Se realizará la sensibilización a los comerciantes del sector de la victoria;Rosalba Daza
344;Convocatoria charlas de justicia restaurativa ;Charla a la comunidad ;Francisco Rodríguez Peñaloza 
345;Sensibilización Prevención al Hurto;Demasiada inseguridad que ha afectado a los estudiantes, además de inundarse cada que llueve (seguimiento estrategia construyendo Territorio Señor Alcalde);Enrique Sánchez
346;Sensibilización de Documentos;Se realizará sensibilización a documentos requeridos para el funcionamiento del establecimiento publico;Rosalba Daza
347;Plan Guitarra;Hurtos motorizados sin placas y muestran partes íntimas, robos en transporte público (Seguimiento estrategia construyendo Territorio Señor Alcalde);Juan David Linares
348;Campaña Plan Mochila Colegio Moralba;Realizar un acompañamiento a estudiantes del colegio moralba;Carlos Zuñiga
349;Invitación a la comunidad Montecarlo a reunión para tratar problemáticas ;Convocar a la comunidad a una mesa de trabajo en la cual se van a tratar temas de problemáticas y posibles soluciones.;Nancy Lopez
350;Juego cachibool ;Apoyar juego de adulto mayor en parque metropolitano san cristobal;Nancy Lopez 
351;Campaña Identificación De Riesgos esteucturales;Hacer un recorrido e identificar los riesgos estructurales en el poligono;Robinson Rubiano
352;Reunión Presidente AsoJuntas;Se realizará reunión con presidente de Asojuntos para coordinar y planificar diversas actividades junto con las JAC;Luis Hernando Borda Montoya 
353;Reunion Alcalde Tema Universitaria De colombia;Reunion para hablar de un posible  convenio entre alcaldia y universidad ;Cristian Moreno
354;Capacitación cero discriminancion ;Capacitación sobre la cero discriminación ;Román Gonzalez 
355;Plan Guitarra;Problemática de Inseguridad por robo en trasporte publico  (Seguimiento estrategia construyendo Territorio Señor Alcalde);Yohn Rojas
356;Sensibilización al Hurto  ;Cerca al puente peatonal la via se encuentra en muy mal estado, adicional de encontrar bastante inseguridad en el sector.(Seguimiento estrategia construyendo Territorio Señor Alcalde);Enrique Sánchez
357;Sensibilización y análisis borde fucha;Análisis problemática rio fucha ,sensibilización y encuestas;Justicia social
358;Reunión con lider para zona segura;Reunión con lider para zona segura;josé elkin olivera
359;Acompañamiento Consejo Juvenil;Se realiza acompañamiento a inscripción de consejos juvenil;Cristiana Rondón 
360;Acompañamiento Concejol Juvenil Colegio Juan Bosco;Se realiza un acompañamiento para que los jóvenes puedan realizar su inscripción y ser elegidos.;Cristian Rondon
361;Acompañamiento Concejo Juvenil Colegio Nueva Roma;Acompañamiento a inscripción concejos juveniles;Hector Lopez
362;Acompañamiento Consejo Juvenil colegio Giralda;Acompañamiento consejo juvenil inscripción ;Vivian Valvuena
363;Acompañamiento Consejo Juvenil Colegio Aldemar Rojas;Acompañamiento Consejo juvenil inscripción de candidato.;Kaira Conga
364;Acompañamiento Consejo Juvenil Colegio Nueva Roma;Acompañamiento Consejo Juvenil Colegio nueva Roma;Hector Lopez
365;Acompañamiento Consejo Juvenil Nueva Delhi;"Acompañamiento a estudiantes a realizar inscripción Consejo juvenil
";Favian Delgado 
366;Acompañamiento Consejo Juvenil Colegio Gloria Valencia;Acompañamiento a inscripción de consejo juvenil ;Favian Delgado
367;Invitación puerta a puerta a reunión del sábado 19 para escucha de problemática ;Invitación ;Francisco Rodríguez Peñaloza 
368;Reunión General Gestores ;Reunion en la cual se llevará a cabo con el líder Alexander Morales , para dar a conocer lo que se está trabajando.;Vivian Valvuena
369;Reunion con Planeacion;Reunion en la cual se va a evaluar temas de presupuesto para las actividades a desarrollar desde gestores del orden ;Alexander Morales
370;Recolección de Informacion puerta a puerta Manila;Puerta a puerta recolectar información atraves de un froms;Hugo Ortiz
371;Reunion con planeación estefanny;Reunion para ver si es viable un presupuesto para gestores ;Román Gonzalez
372;Reunion con el señor alcalde ;Reunion en la cual se llevarán a cabo convenio con Universitaria de colombia;Angie González 
373;Recolección De Informacion Manila ;Atraves de un from recolectar informacion puerta a puerta;Hugo Ortiz
374;Campaña contra la extorsión  ;Espacio publico comerciantes amenazados generar un plan de accion en temas de seguridad para los comerciantes del sector (Seguimiento estrategia construyendo Territorio Señor Alcalde);Juan David Linares
375;Plan Guitarra;Problemática de hurto transporte e inseguridad (Oficio Orfeo );Rosalba Daza
376;Inicio a Curso De Moda Sostenible y Patronaje;Inicio al curso de moda sostenible y patronales con dos grupos en la mañana y tarde ;Angie González 
377;Campaña Veterinaria Montebello;Desparasitar a perros y gatos ;Vivian Valvuena
378;Recolección de informacion la castaña;Atraves de un froms recolectar informacion puerta a puerta sobre problematicas;Hugo Ortiz
379;Mesa de Trabajo Nueva Delhi;Reunión con Jac , para desarrollar actividades frente a problemáticas ;Cesar Pachon
380;Coordinaciones actividades de justicia;Con la Inspección de policía ;Ferney Vasquez Moreno
381;Reunión Lideres De Comercio Alameda;Reunión en la cual se tratarán temas de inicio de aprobación acueducto;Carlos Zuñiga
382;Reunion Casa De Justicia;Reunion con la doctora Tatiana para tratar tema de la mujer;Laura Guerrero
383;Sensibilización espacio público la victoria ;Sensibilizar a vendedores y comerciantes sobre el buen uso del espacio público.;Cristian Moreno
384;Sensibilización espacio público La Victoria;Sensibilizar vendedores y comerciantes sobre el buen uso del espacio público;Hector Lopez
385;Capacitación promoambiental manejo de basuras;Desde promo ambiental nos ofrecen una capacitación a la comunidad para el buen manejo de basuras.;Daniela Villanueva
386;Reunión con la comunidad del barrio la roca;Socializar las problemáticas y adicionalmente escuchar a la comunidad ;Andres Arias
387;Sensibilización hurto y extorsion;Se realizará la actividad de sensibilización de hurto y extorsion en los alrededores del CAI libertadores;Andrés Mancera
388;Reunion Lideres Religiosos Moda y Deporte;Entrega de documentos para inicio de curso y propuesta para deportes.;Alexander Alarcon
389;Encuentro comunitario;Encuentro comunitario;Ponal
390;Reunion Programacion Semanal;Programar actividades de la semana del 14 al 18 Julio;Roman Gonzalez
391;Recolección de informacion puerta a puerta altamira;Atraves del froms recolectar informacion de las problemáticas en el barrio altamira junto con presidente de junta;Carlos Zuñiga
392;Recoleccion de informacion la roca;Levantar informacion puerta a puerta atraves de un from en el sector la roca;Robinson Rubiano
393;Voz a voz para capacitación manejo de basura;Realizar voz a voz en el sector invitando a la comunidad a capacitación de manejo de basura;Alexander Alarcon
394;Megatoma portal 20 de julio y estación av. 1 de mayo;Se realizará actividad interinstitucional con el acompañamiento de diferentes entidades para realizar una megatoma en transporte público ;Yohn Rojas
395;Plan guitarra paradero ruta 816;Se realizará plan guitarra en el paradero de la ruta 816 y se realizará actividades de prevención y hurto en el sector;Rosalba Daza
396;Megatoma a ciudadanía ;Sensibilización y pedagogía ;Francisco Rodríguez 
397;Campaña Para Adulto Mayor Servicios de Manicure;Jornada de manicure para adulto mayor en un geriátrico.;Román Gonzalez
398;Campaña Plan Guitarra Transporte Público;Sensibilizar a los usuarios del SITP sobre prevención de hurto;Hugo Ortiz
399;Sensibilización Hurto y Consumo de SPA;La actividad es una sensibilización en el parque de columnas en el cual se quiere prevenir en temas de hurtos y de consumo y expendio de SPA, con lo cual también queremos que la comunidad se apropie de su territorio, utilicen adecuadamente el parque, y se genere un lugar mucho más seguro para cada ciudadano ;Juan David Linares
400;Reunión Interistitucional entre Alcaldia y Universitaria de Colombia;Reunión entre alcaldia y universidad, para terminar de organizar el curso de confeccion y patronaje;Angie González 
401;ACOMPAÑAMIENTO A CAMPAÑA DE EMBELLECIMIENTO GEDIATRICO SAN MARTIN DE LOBA;"ACOMPAÑAMIENTO A CAMPAÑA DE EMBELLECIMIENTO GEDIATRICO SAN MARTIN DE LOBA
";Angie Gonzáles 
402;Encuentro Comunitario;Abordar a la comunidad para obtener lectura de contexto;Justicia Social - Ponal
403;Reunión universitaria de Colombia ;"Moda sostenible ""reunión y avances""";Angie Gonzáles 
404;SENSIBILIZACION ESPACIO PUBLICO;"SENSIBILIZACION ESPACIO PUBLICO
";Cesar Pachon
405;Sensibilización espacio público;" sensibilización a vendedores informales y comerciantes sobre el buen uso del espacio público
";Laura Guerrero
406;Campaña Preventiva De La Denuncia ;Campaña en el barrio santa, para que las personas de la comunidad realicen la denuncia correspondiente a lo que les ocurra.;Daniela Villanueva
407;Plan guitarra;La actividad se realizará junto a gestores y Policia en los paraderos que constan de la primera de mayo, en esta actividad el objetivo es generar un transporte más seguro y tranquilo para la comunidad;Andrés Mancera
408;Asamblea general de asojuntas;Reunión asamblea ordinaria de asojuntas;Asojuntas
409;marcha lgbti¡ yo marcho trans!;Marcha LGBTI - Yo marcho Trans- proyecto participativo seguriddad, convivencia y derechos diferenciales;MAS TERRITORIO- DERECHOS DIFERENCIALES-
410;Capacitación ambiental ENTRE NUBES ;Sensibilización sobre adecuado manejo de residuos ;Hector Lopez 
411;Encuentro Comunitario Moralba;Se va a realizar acompañamiento al encuentro comunitario y persepcion que se realiza en el barrio moralba;Luis Hernando Borda Montoya 
412;Encuentros Comunitarios;Encuentros Comunitarios;Justicia Social
413;Prevención Hurto;Se realizara campaña de prevención al hurto en las inmediaciones de la estacion de gasolina de san blas;Andrés Mancera
414;recolección de información alrededor junta de acción comunal Altamira ;Se realizara un diligenciamiento del forms junto con la comunidad para levantamiento de información de problemáticas en territorio ;Román Gonzalez 
415;Sensibilización espacio público ;Sensibilización a comerciantes y vendedores informales sobre espacio público ;Ana Aponte
416;campaña sensibilización espacio público;Se realiza sensibilización a comunidad de vendedores informales y comerciantes de la zona;Andres Arias
417;REUNION DE CONSULTIVA;TEMA SOLUCION DE LA IMPUGANCION;JOSE FRANCISCO IBALDE
418;Reunion con comunidad ;Reunion con comunidad ;Jose elkin olivera 
419;Campaña de prevención en Parque Ramajal;Se realizara campaña de prevención de consumo y expendio de spa en el parque Ramajal;Andrés Mancera
420;Capacitación control de hemorragias ;capacitación para los gestores con el fin de atender emergencias ;Hector Lopez
421;Actividad de cuidado personal para adultos mayores ;"jornada de cuidado personal ""manicure"" a adultos mayores ";Andrés Arias 
422;Mesa de trabajo ;Solución a la problemática de lote esquinero ;Francisco Rodríguez 
423;Recorrido jac altos del poblado ;Se realiza recorrido con el presidente de acción comunal para identificar problemáticas;ANGIE CATALINA DUEÑAS URBINA
424;Reunion de equipo gestores del orden;Reunion con el equipo de gestores de caminando conozco mi barrio, para organizar, programar y verificar proximas actividades y novedades.;Roman Gonzalez
425;"Reunión promo- ambiental ""santa rosa""";"Se realiza reunión con secretaria de seguridad en el barrio ""santa rosa"" con el fin de discutir y generar un plan de acción para el asunto de escombros y basuras.";Daniela Villanueva
426;Reunión interinstitucional universitaria de Colombia ;"Reunión con el fin de consolidad objetivos y tareas para actividad de ""moda sostenible""  y cursos de patronaje.";Daniela Villanueva 
427;Campaña contra el hurto a comercios ;estrategia de sensibilización para  la prevención de actos delictivos y relacionados con el hurto;Angie Gonzáles 
428;sensibilización espacio público la victoria ;Realizar sensibilización a comerciantes y vendedores informales sobre espacio público ;Kaira Conga 
429;Reunión lideres religiosos ;Reunión con el fin de articular con lideres deportivos con el fin de generar un campeonato donde se integre alcaldía y las iglesias de la localidad;Cristian Moreno
430;Reunión con comunidad religiosa ;Promoción de buena convivencia a comunidad ;Francisco Rodríguez Peñaloza 
431;Acompañamiento recorrido del sr alcalde;Acompañamiento recorrido del sr alcalde;Alcalde local
432;Recorrido Alcalde ;Se realiza recorrido con el señor alcalde Urbanización punta del este, San Blas II sector, Valparaiso;Catalina Dueñas 
433;Atención al Ciudadano;Atención del Ciudadano Alcaldía Local de San Cristóbal;Yohn Rojas
434;Atención al Ciudadano;Atención al Ciudadano Alcaldía Local de San Cristóbal;Juan David Linares
435;Sensibilización Hurto a Vehículos y Motocicletas;Sensibilización hurto a vehículos y motocicletas carrera 8a este con calle 36h sur barrio San Vicente ;Yohn Rojas
436;Consejo de seguridad;Consejo de seguridad;Secretaria de Seguridad
437;Comité Civil de convivencia;Análisis de fenómenos de convivencia;Justicia Social
438;Atencion al ciudadano ;Atención al ciudadano alcaldía local de san cristóbal - Seguridad y Convivencia;Rosalba Daza Parra 
439;Atención al Ciudadano;Atención al Ciudadano Alcaldía Local de San Cristóbal;Andres Mancera
440;Actividad de coordinación DLE;Alineación del plan de acción del DLE con Justicia Social;Ferney Vasquez Moreno
441;Charla Contra el Hurto;Charla contra el hurto en transporte publico en las diferentes rutas entre la carrera 10a este y av calle 39 sur;Yohn Rojas
442;Mesa de Trabajo ;Sensibilización con la Comunidad P.H;Francisco Rodríguez Peñaloza 
443;Inauguración de zonas segura ;Inauguración ;Alcaldía local y policía 
444;Inauguración Zona Segura  ;Inauguración zona segura ;ALSC y policía 
445;Jal al barrio- libertadores;Jal al barrio ;Jal 
446;JAL al barrio ;Mesa de trabajo con ediles ;JAL y alcaldía local 
447;Mesa de trabajo ;Escucha de problemática de copropiedad y externos ;Francisco Rodríguez Peñaloza 
448;Inauguración zona segura ;Entrega de de kit alarmas a la comunidad ;Alcaldía local de san Cristóbal 
449;Sensibilización Contra el Hurto;Sensibilización Contra el Hurto en paraderos del barrio Bellavista;Yohn Rojas
450;Pacto Rio Fucha;Plan de trabajo a realizar en los entornos barriales del río Fucha ;Ferney Vásquez. José Elkin Olivera
451;Inauguración zona segura;Inauguración zona segura;Alsc_Ponal
452;Atencion al ciudadano ;Atención al ciudadano alcaldía local de san cristóbal - seguridad y convivencia;Rosalba Daza Parra
453;Atención al Ciudadano;Atención al Ciudadano Alcaldía Local de San Cristóbal;David Linares
454;Plan Requisas Parque La Media Torta;Plan Requisas en el Parque La Media Torta para prevención a expendio de SPA;Yohn Rojas
455;Reunion comunitaria;Reunión comunitaria;Ponal
456;Articulacion interinstitucional ;Acompañamiento y Socialización en temas de seguridad comunidad conjunto santa teresita.;Rosalba Daza Parra
457;Ferney.vasquez@gobiernobogota.gov.co;Prevención y mitigación de violencias sexuales, agresión y hostigamiento escolar;Ferney Vásquez 
458;FORMULACION PROYECTOS;Realizar formulacion proyecto 2633 presupuestos participativos;FABIAN HERRERA
459;Toma territorial en memoria de las victimas;Toma territorial en memoria de las victimas;Jorge Garcia
460;Atención al Ciudadano;Atención al Ciudadano Alcaldía Local de San Cristóbal;Yohn Rojas
461;Plan Requisas;Realizar plan requisa para prevención a hurto y porte de armas;Yohn Rojas
462;Atencion al ciudadano ;Atención al Ciudadano Alcaldía local de san cristóbal;Rosalba Daza Parra
463;Socializacion violencia intrafamiliar ;Se realizara socialización en el entorno del colegio Gloria Valencia con tema de violencia intrafamiliar en compañía de secretaria de la mujer.;Rosalba Daza Parra
464;Sensibilización Hurto a Bici usuarios;sensibilización hurto a bici usuarios en la av. 1 mayo con carrera 8 hasta la calle 17 sur;Yohn Rojas
465;Megatoma Portal 20 de Julio y Estación Av 1 de Mayo;Realizar actividad interinstitucional con Policia Nacional, Consorcio Express, TransMilenio y ALSC;Carlos Melendez
466; Atencion al Ciudadano;Atención al Ciudadano Alcaldía local de San Cristóbal;Yohn Rojas
467;Mochila del Cuidado IED Los Alpes Sede A;Acompañar la actividad a realizar en el Colegio Los Alpes, la cual se llevara acabo con distintas entidades;Andres Mancera
468;Sensibilización Contra el Hurto;sensibilización contra el hurto paradero de la carrera 10 con calle 13 hasta calle 4 sur sosiego;Yohn Rojas
469;Articulacion SDM;Articulación con manzana del cuidado juan Rey -  Charlas Violencia intrafamiliar;Rosalba Daza Parra
470;Apoyo Kits Alarmas;Seguimiento administrativo kits alarmas y programación seguimiento visitas en campo ;Rosalba Daza Parra
471;Reunión Coordinación Gestores del Orden;Reunión de Coordinación con Gestores del orden encargados de levantar información en cada una de las 8 zonas;Andres Mancera
472;Mochila del Cuidado IED Moralba Seda A;Se realizar acompañamiento a la actividad de Mochila del Cuidado, junto a distintas entidades;Andres Mancera
473;Convocatoria a mesa de trabajo;La comunidad del barrio Quinta Ramos II, en la localidad de San Cristóbal, ha manifestado su interés en avanzar en la conformación de un frente de seguridad, como mecanismo de organización comunitaria para fortalecer la convivencia y la prevención del delito en el territorio.;Yohn Rojas
474;Reunión de Coordinación con Presidente de JAC Ramajal;Reunión para coordinar actividades frente a las problemáticas como hurtos en los paraderos de SITP de la pared y problemas de consumo y expendio en el Parque Ramajal;Andres Mancera
475;Campaña al hurto contra las personas en el barrio gran colombia;Sensibilización campaña contra el hurto a personas en los alrededores del barrio gran Colombia;Hugo ortiz
476;Sensibilización linea purpura;Sensibilización linea purpura;Rosalba Daza
477;Sensibilización consumo de Sustancias Psicoactivas (SPA);Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Ismael Enrique Sánchez 
478;Sensibilización contra el hurto y registros;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Yonh Fredy Rojas 
479;Sensibilización consumo y expendio SPA ;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Andrés Mancera 
480;Plan Guitarra;Plan Guitarra es una estrategia de seguridad en el transporte público que busca prevenir hurtos y riñas. Consiste en realizar registros y requisas preventivas, además de sensibilizar a los usuarios sobre el cuidado de sus pertenencias. Con la presencia institucional se busca generar entornos más seguros y promover la autoprotección durante los desplazamientos.;Juan David Linares
481;Recorrido plan de acción del COLIA;El área de Seguridad realizara  recorrido en la zona de La Victoria, iniciando en el CDC La Victoria a las 2:00 p.m., para atender los incidentes reportados y cumplir con el plan de acción del COLIA. Durante la actividad se verificaron las situaciones en territorio y se brindara acompañamiento a la comunidad.;Rosalba Daza
482;Plan Guitarra ;Plan Guitarra consiste en realizar requisa y control al transporte público, revisando pasajeros y vehículos en puntos estratégicos para fortalecer la seguridad. Incluye verificación de antecedentes, inspección de documentos del transporte y acompañamiento de las autoridades.;Enrique Sanchez
483;Plan registro y sensibilización hurto;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadanarealiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Yonh Fredy Rojas 
484;Sensibilización consumo y expendio SPA ;Plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Andres Mancera 
485;Jornada control y registro ;plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Luis Borda
486;Construcción e instalación de monumento inspirado en la justicia y el cuidado del barrio;Realización de monumento con material reciclado para representación en parque;Francisco Rodríguez Peñaloza 
487;Campaña contra el consumo de spa ;Sensibilizar alrededor de la junta de acción comunal contra el consumo de SPA.;Luis Carrasco
488;Campaña contra el consumo de SPA Altamira;Sensibilizar alrededor del salón comunal sobre el consumo de spa y sitios en donde no se permite el consumo ;Román González 
489;Campaña contra el consumo de SPA ;Sensibilizar a la ciudadanía sobre el consumo de spa sitios en donde está permitido ;Román González
490;Campaña contra consumo de SPA ;Sensibilizar a la ciudadania sobre los sitios de no consumo SPA en entornos escolares, parques y coliseos;Laura Guerrero
491;Campaña contra el consumo de SPA;Sensibilizar a la comunidad sitios no permitidos al consumo , en cuanto a entornos escolares, parques y centros deportivos.;Román Gonzalez
492;Reunión en casa de justicia ;Reunión para tratar temas de solucion convivencia por problemáticas de comportamiento contrarios a la ley 1801 de 2016 con una residente del conjunto residencial santa Inés ;Francisco Rodríguez Peñaloza 
493;Campaña contra el hurto a personas ;Sensibilizar a las personas sobre el cuidado de sus objetos y las líneas de atención ;Román González 
494;Campaña contra el hurto a personas;Sensibilizar a las personas sobre cuidar  sus objetos y denunciar a las lineas;Laura Guerrero
495;Campaña preventiva contra el hurto a personas;Sensibilizar a las personas sobre cuidar sus objetos personales y acudir a  las líneas de emergencia en casos de presentar alguna novedad.;Laura Guerrero
496;Campaña contra el hurto a personas;Sensibilizar  a la ciudadanía sobre cuidar sus objetos personales y en caso de emergencia acudir a las lineas de atencion ;Roman Gonzalez
497;Campaña contra el hurto a personas;Sensibilizar a las personas el ciudado de sus objetos y lineas de atencion a las cuales pueden acudir;Roman Gonzalez
498;Reunión de coordinación actividades ;Asisitir a reunión para programar actividades para la siguiente semana, con las entidades respectivas;Laura Guerrero
499;Sensibilización SPA ;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Juan David Linares
500;Campaña contra el consumo de SPA;Sensibilizar a la ciudadanía sobre los sitios de no consumo en parques, centros deportivos y entornos escolares;Roman Gonzalez
501;Campaña contra el consumo spa ;Sensibilizar a la ciudadanía sobre el consumo de spa en sitios no permitidos como parques, sitios deportivos y entornos escolares;Ana Aponte
502;Campaña contra el consumo de spa ;Sensibilizar a la ciudadanía sobre  el consumo de SPA, sitios no permitidos ;Nancy López 
503;Campaña contra el consumo de SPA ;Sensibilizar al sector, sobre el no consumo en sitios como entornos escolares, parques y centros deportivos ;Andrés Arias
504;Campaña sobre el consumo de spa;Sensibilizar a la ciudadanía sobre los sitios de no consumo , como parques, entornos escolares y centros deportivos ;Javier Fernández 
505;Rrecorrido Problematica Guacamayas;Rrecorrido Problematica Guacamayas;Rosalba Daza
506;Plan Guitarra ;Registro y control transporte publico;Andres Mancera 
507;Sensibilización comercio;Jornada de sensibilización dirigida al sector comercial, donde la Alcaldía destaca la importancia crítica de mantener la documentación legal al día para operar conforme a la normativa vigente. Paralelamente, se abordan temas relacionados con la prevención de la delincuencia, ofreciendo herramientas y estrategias para reforzar la seguridad en sus establecimientos y en el entorno.;Enrique sanchez
508;Sensibilización hurto y SPA;Actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Yonh Fredy Rojas
509;TALLER PERFUMERIA;"se desarrollará un taller de perfumería en el que los participantes elaborarán fragancias personalizadas. La actividad buscará promover la creatividad, el emprendimiento y el aprovechamiento del tiempo libre a través de la mezcla de esencias y la experimentación con aromas.
";LINA RUIZ - ALEJANDRO HERRERA                     
510;ENTRENAMIENTO DE ATLETISMO NOCTURNO;Actividad física dirigida a fortalecer la resistencia y el bienestar general, a través de un recorrido nocturno por la comunidad. La ruta inicia en la Once Sur, continúa hacia el Instituto de Ciegos y finaliza en la subida a La Y. Un espacio seguro y participativo que promueve hábitos saludables, convivencia y apropiación del territorio.;ERIKA ACOSTA 
511;TALLER BISUTERIA ELABORACION ARETES;Se realizará el Taller de Bisutería, en el que los participantes aprenderán técnicas para la elaboración de accesorios, fortalecerán su creatividad y desarrollarán habilidades que podrán proyectarse en iniciativas de emprendimiento.;FLOR VARGAS - MARTHA TRIANA
